Mean,Std
-87.29579,0.6160007
-87.28785,0.60826254
-87.2759,0.6136589
-87.29923,0.6095019
-87.34978,0.58173627
-87.370384,0.61079454
-87.355156,0.6029374
-87.336205,0.61414754
-87.317215,0.61865336
-87.3064,0.6051402
-87.34654,0.6113759
-87.36997,0.60292464
-87.369484,0.5919572
-87.37596,0.5920028
-87.36498,0.60980403
-87.39347,0.594764
-87.41436,0.5999248
-87.40627,0.5898681
-87.407455,0.5964513
-87.41083,0.612868
-87.41595,0.6067004
-87.40206,0.59711415
-87.41495,0.60291606
-87.43087,0.58657616
-87.4382,0.5872256
-87.464516,0.58698463
-87.46436,0.58752793
-87.44764,0.59663993
-87.42757,0.5915581
-87.439064,0.5868842
-87.45965,0.5757735
-87.47253,0.5625444
-87.50476,0.5632192
-87.50996,0.570848
-87.47451,0.5917157
-87.463394,0.58875465
-87.48558,0.5832163
-87.5161,0.5863923
-87.51848,0.5719735
-87.50477,0.54844826
-87.51956,0.5432331
-87.51211,0.54680467
-87.520386,0.5401019
-87.52508,0.54513973
-87.52366,0.543852
-87.53839,0.541385
-87.521355,0.5449594
-87.485504,0.56000626
-87.489044,0.55366004
-87.50077,0.5694143
-87.53681,0.56731504
-87.52558,0.5495731
-87.53172,0.5369368
-87.529526,0.53000045
-87.5092,0.54878896
-87.52587,0.55909765
-87.53548,0.5569584
-87.539444,0.5666694
-87.56289,0.5579877
-87.56103,0.54078025
-87.54326,0.5124
-87.50787,0.519102
-87.53827,0.5184232
-87.56265,0.5076885
-87.558105,0.5051571
-87.55796,0.5177788
-87.56173,0.5171212
-87.537674,0.53555775
-87.5363,0.5430379
-87.558075,0.531455
-87.57761,0.5388308
-87.58723,0.5274086
-87.57274,0.50205946
-87.54073,0.49507996
-87.53735,0.5104984
-87.55136,0.53336966
-87.55694,0.52227676
-87.5505,0.5112206
-87.5763,0.53072226
-87.57208,0.5180511
-87.55357,0.49124223
-87.552734,0.46451682
-87.54089,0.47263184
-87.54066,0.48951524
-87.57424,0.5036546
-87.58418,0.51250404
-87.5602,0.4800629
-87.53557,0.47453016
-87.535126,0.47436994
-87.54589,0.48096904
-87.56547,0.4898926
-87.55996,0.47340286
-87.535774,0.47113585
-87.51317,0.47148266
-87.50768,0.47225666
-87.53312,0.48577625
-87.54191,0.48635215
-87.57826,0.46683818
-87.569855,0.4791695
-87.53761,0.48822984
-87.51791,0.48485646
-87.51729,0.46839932
-87.526115,0.45357814
-87.52303,0.4381568
-87.523865,0.45013016
-87.50426,0.44780466
-87.48714,0.44833753
-87.485916,0.45050797
-87.50083,0.43379706
-87.52004,0.4588581
-87.54277,0.46827504
-87.524,0.4596223
-87.496254,0.451912
-87.46728,0.4406355
-87.46223,0.44717976
-87.483894,0.44728833
-87.51466,0.4565105
-87.5123,0.45110428
-87.49618,0.45111558
-87.47785,0.4297407
-87.45793,0.43645224
-87.45799,0.43631434
-87.466736,0.41986358
-87.45377,0.4014294
-87.42204,0.41127124
-87.40917,0.42495194
-87.37818,0.44850278
-87.4041,0.45026165
-87.44966,0.41759315
-87.46463,0.42083213
-87.48037,0.4108889
-87.45787,0.4140993
-87.41322,0.41700998
-87.3993,0.42131096
-87.403435,0.42090735
-87.405876,0.41343248
-87.40721,0.4104505
-87.41252,0.40903193
-87.4063,0.39859393
-87.36518,0.3926998
-87.357155,0.398943
-87.360695,0.38214195
-87.38768,0.3873761
-87.40433,0.3830795
-87.39194,0.39953318
-87.35485,0.37468112
-87.348274,0.3978033
-87.34424,0.42181015
-87.35613,0.40903035
-87.36377,0.39475235
-87.36485,0.38602632
-87.33795,0.4022525
-87.335724,0.3893104
-87.29391,0.37463936
-87.32912,0.38790274
-87.334564,0.3818102
-87.33725,0.37348235
-87.32623,0.36383247
-87.29918,0.3541528
-87.27381,0.3633229
-87.26967,0.37373295
-87.29687,0.3696367
-87.317825,0.3867159
-87.28722,0.3710763
